time,open,high,low,close,tick_volume,spread
2025-01-15 23:00:00,1.02956,1.02963,1.0288,1.02893,1649,0.0
2025-01-16 00:00:00,1.02881,1.02949,1.0284,1.0293,1563,0.0
2025-01-16 01:00:00,1.02929,1.02955,1.02908,1.02952,1514,0.0
2025-01-16 02:00:00,1.02952,1.03,1.02847,1.0299,4164,0.0
2025-01-16 03:00:00,1.02991,1.02997,1.02876,1.02889,5183,0.0
2025-01-16 04:00:00,1.0289,1.02931,1.02848,1.02868,3821,0.0
2025-01-16 05:00:00,1.02869,1.02891,1.02846,1.0289,1792,0.0
2025-01-16 06:00:00,1.02889,1.02939,1.02853,1.0287,1744,0.0
2025-01-16 07:00:00,1.02871,1.02873,1.02808,1.02824,2067,0.0
2025-01-16 08:00:00,1.02823,1.02897,1.02822,1.0289,3596,0.0
2025-01-16 09:00:00,1.0289,1.03015,1.02858,1.02975,7748,0.0
2025-01-16 10:00:00,1.02974,1.02999,1.02878,1.02959,6938,0.0
2025-01-16 11:00:00,1.02958,1.02989,1.02816,1.02861,6479,0.0
2025-01-16 12:00:00,1.02862,1.02961,1.02828,1.02851,4533,0.0
2025-01-16 13:00:00,1.02852,1.02919,1.0284,1.02901,4415,0.0
2025-01-16 14:00:00,1.02902,1.02902,1.0264,1.02718,7320,0.0
2025-01-16 15:00:00,1.02717,1.02852,1.02601,1.02815,21024,0.0
2025-01-16 16:00:00,1.02816,1.02839,1.02678,1.02792,10982,0.0
2025-01-16 17:00:00,1.02791,1.03058,1.02741,1.0301,19006,0.0
2025-01-16 18:00:00,1.03011,1.03117,1.0286,1.03022,13754,0.0
2025-01-16 19:00:00,1.03022,1.03151,1.02944,1.02965,8133,0.0
2025-01-16 20:00:00,1.02965,1.03029,1.02934,1.03002,3839,0.0
2025-01-16 21:00:00,1.03002,1.03077,1.02975,1.03019,3646,0.0
2025-01-16 22:00:00,1.03019,1.03039,1.02971,1.03001,2509,0.0
2025-01-16 23:00:00,1.03001,1.03034,1.02966,1.02992,1900,0.0
2025-01-17 00:00:00,1.02945,1.03026,1.02945,1.03015,759,0.0
2025-01-17 01:00:00,1.03016,1.03042,1.03002,1.03015,874,0.0
2025-01-17 02:00:00,1.03014,1.03067,1.02981,1.03047,2135,0.0
2025-01-17 03:00:00,1.03047,1.03095,1.03014,1.0305,2368,0.0
2025-01-17 04:00:00,1.03051,1.03091,1.0303,1.03032,2582,0.0
2025-01-17 05:00:00,1.03032,1.03049,1.02998,1.03009,1402,0.0
2025-01-17 06:00:00,1.03009,1.0301,1.02919,1.02936,1406,0.0
2025-01-17 07:00:00,1.02936,1.02952,1.02874,1.02932,2026,0.0
2025-01-17 08:00:00,1.02933,1.02939,1.02851,1.02904,2162,0.0
2025-01-17 09:00:00,1.029,1.0291,1.02774,1.02846,10045,0.0
2025-01-17 10:00:00,1.02845,1.02988,1.02844,1.02969,6596,0.0
2025-01-17 11:00:00,1.0297,1.0304,1.02893,1.02967,6874,0.0
2025-01-17 12:00:00,1.02968,1.03062,1.02965,1.03037,4493,0.0
2025-01-17 13:00:00,1.03038,1.03101,1.0299,1.03045,4944,0.0
2025-01-17 14:00:00,1.03045,1.03065,1.02902,1.02928,6368,0.0
2025-01-17 15:00:00,1.02927,1.02995,1.02855,1.02901,9772,0.0
2025-01-17 16:00:00,1.02902,1.03023,1.02652,1.02993,16977,0.0
2025-01-17 17:00:00,1.0299,1.03307,1.02953,1.02989,18251,0.0
2025-01-17 18:00:00,1.02988,1.03002,1.02816,1.02864,9134,0.0
2025-01-17 19:00:00,1.02864,1.02911,1.02786,1.02808,6100,0.0
2025-01-17 20:00:00,1.02807,1.02921,1.02791,1.0281,4293,0.0
2025-01-17 21:00:00,1.02809,1.0284200000000001,1.02727,1.02762,3763,0.0
2025-01-17 22:00:00,1.02763,1.02816,1.02737,1.02751,3892,0.0
2025-01-17 23:00:00,1.02752,1.02753,1.02654,1.02656,1677,1e-05
2025-01-20 00:00:00,1.02787,1.02851,1.02729,1.02792,1703,0.0
2025-01-20 01:00:00,1.02802,1.02807,1.02663,1.02806,2258,0.0
2025-01-20 02:00:00,1.02805,1.0290300000000001,1.0278100000000001,1.02865,3079,0.0
2025-01-20 03:00:00,1.02865,1.02928,1.02791,1.02907,3297,0.0
2025-01-20 04:00:00,1.02908,1.02923,1.02869,1.02911,2657,0.0
2025-01-20 05:00:00,1.0291,1.03064,1.02909,1.03061,2748,0.0
2025-01-20 06:00:00,1.03061,1.0307,1.03017,1.03043,1604,0.0
2025-01-20 07:00:00,1.03043,1.03064,1.03017,1.03024,1704,0.0
2025-01-20 08:00:00,1.03025,1.03189,1.02994,1.03104,3779,0.0
2025-01-20 09:00:00,1.03104,1.03185,1.03058,1.03168,5162,0.0
2025-01-20 10:00:00,1.03168,1.03176,1.03068,1.03098,7486,0.0
2025-01-20 11:00:00,1.03099,1.03169,1.0305,1.0306,6634,0.0
2025-01-20 12:00:00,1.03059,1.03224,1.03059,1.0315,5063,0.0
2025-01-20 13:00:00,1.0315,1.03265,1.03131,1.0326,4287,0.0
2025-01-20 14:00:00,1.03261,1.03265,1.03151,1.03203,4778,0.0
2025-01-20 15:00:00,1.03203,1.04002,1.03081,1.03981,30375,0.0
2025-01-20 16:00:00,1.03982,1.04303,1.03795,1.04147,26024,0.0
2025-01-20 17:00:00,1.04146,1.04301,1.03848,1.04005,18896,0.0
2025-01-20 18:00:00,1.04006,1.04058,1.03905,1.03984,8212,0.0
2025-01-20 19:00:00,1.03982,1.04026,1.03533,1.03855,15296,0.0
2025-01-20 20:00:00,1.03856,1.03966,1.03833,1.03966,2993,0.0
2025-01-20 21:00:00,1.03966,1.0423499999999999,1.03906,1.04211,3524,0.0
2025-01-20 22:00:00,1.04212,1.04345,1.0412,1.04161,5181,0.0
2025-01-20 23:00:00,1.04161,1.04193,1.04097,1.04163,2629,0.0
2025-01-21 00:00:00,1.04138,1.0417399999999999,1.04094,1.0414,833,3e-05
2025-01-21 01:00:00,1.04143,1.04259,1.0411,1.04211,5431,0.0
2025-01-21 02:00:00,1.0421,1.04344,1.03521,1.03638,19496,0.0
2025-01-21 03:00:00,1.03638,1.0398,1.03558,1.03702,20830,0.0
2025-01-21 04:00:00,1.03701,1.03903,1.03692,1.03876,7535,0.0
2025-01-21 05:00:00,1.03876,1.04011,1.03852,1.03874,5485,0.0
2025-01-21 06:00:00,1.03875,1.03991,1.0385,1.03898,3539,0.0
2025-01-21 07:00:00,1.03899,1.03922,1.03773,1.03788,2950,0.0
2025-01-21 08:00:00,1.03789,1.03815,1.03665,1.0369,4859,0.0
2025-01-21 09:00:00,1.0369,1.03863,1.03651,1.03734,7488,0.0
2025-01-21 10:00:00,1.03735,1.03735,1.03501,1.03611,9166,0.0
2025-01-21 11:00:00,1.0361,1.03638,1.03418,1.03535,10621,0.0
2025-01-21 12:00:00,1.03536,1.03595,1.03431,1.0352999999999999,9248,0.0
2025-01-21 13:00:00,1.03529,1.03581,1.03429,1.03534,6134,0.0
2025-01-21 14:00:00,1.03533,1.03582,1.03457,1.03536,9533,0.0
2025-01-21 15:00:00,1.03535,1.0378,1.03528,1.03775,9829,0.0
2025-01-21 16:00:00,1.03775,1.03986,1.03728,1.03882,13175,0.0
2025-01-21 17:00:00,1.03881,1.04105,1.03785,1.04006,15237,0.0
2025-01-21 18:00:00,1.04007,1.0423,1.03983,1.04225,9615,0.0
2025-01-21 19:00:00,1.04224,1.04303,1.04211,1.04213,6119,0.0
2025-01-21 20:00:00,1.04212,1.04355,1.04198,1.04291,4740,0.0
2025-01-21 21:00:00,1.0429,1.04305,1.04161,1.0418,3770,0.0
2025-01-21 22:00:00,1.04179,1.04216,1.04157,1.042,2938,0.0
2025-01-21 23:00:00,1.04201,1.04298,1.04188,1.04253,2257,0.0
2025-01-22 00:00:00,1.04253,1.04339,1.04239,1.04275,1197,0.0
2025-01-22 01:00:00,1.04272,1.04277,1.03921,1.04057,9058,0.0
2025-01-22 02:00:00,1.04059,1.04245,1.04059,1.04231,4340,0.0
2025-01-22 03:00:00,1.04231,1.04233,1.04076,1.04096,4444,0.0
2025-01-22 04:00:00,1.04095,1.04163,1.0406,1.04136,3116,0.0
2025-01-22 05:00:00,1.04136,1.04158,1.04101,1.0412,2198,0.0
2025-01-22 06:00:00,1.0412,1.04214,1.0411299999999999,1.04171,1708,0.0
2025-01-22 07:00:00,1.04172,1.0418,1.04083,1.04158,2104,0.0
